task_id,rows,cols,depth_target,depth_opt,algorithm,solved,path_length,iterations,max_open,open_end,max_memory,elapsed_time_sec,seed,start_state,goal_state
3,4,4,2,2,BFS,False,2,13,52,51,64,0.00020589999621734023,374463918,1001/1001/0000/0000,1111/0000/0000/0000
3,4,4,2,2,IDDFS,False,2,17,3,0,3,6.9500005338341e-05,374463918,1001/1001/0000/0000,1111/0000/0000/0000
3,4,4,2,2,A*(h1) - Misplaced Tiles,False,2,4,17,16,20,0.00010289999772794545,374463918,1001/1001/0000/0000,1111/0000/0000/0000
3,4,4,2,2,A*(h2) - Manhattan Distance,False,2,8,35,34,42,0.0009419999842066318,374463918,1001/1001/0000/0000,1111/0000/0000/0000
2,4,4,2,2,BFS,False,2,15,62,61,76,0.00022369998623616993,1149664691,1010/1010/0000/0000,1111/0000/0000/0000
2,4,4,2,2,IDDFS,False,2,20,3,0,3,7.189999450929463e-05,1149664691,1010/1010/0000/0000,1111/0000/0000/0000
2,4,4,2,2,A*(h1) - Misplaced Tiles,False,2,5,23,22,27,0.00013150001177564263,1149664691,1010/1010/0000/0000,1111/0000/0000/0000
2,4,4,2,2,A*(h2) - Manhattan Distance,False,2,9,43,42,51,0.0010992999887093902,1149664691,1010/1010/0000/0000,1111/0000/0000/0000
1,4,4,2,2,BFS,False,2,62,174,171,233,0.0007717999978922307,224899942,1011/0000/0010/0000,1111/0000/0000/0000
1,4,4,2,2,IDDFS,False,2,119,3,0,3,0.00018270002328790724,224899942,1011/0000/0010/0000,1111/0000/0000/0000
1,4,4,2,2,A*(h1) - Misplaced Tiles,False,2,8,42,41,49,0.00023880001390352845,224899942,1011/0000/0010/0000,1111/0000/0000/0000
1,4,4,2,2,A*(h2) - Manhattan Distance,False,2,10,50,49,59,0.0016351999947801232,224899942,1011/0000/0010/0000,1111/0000/0000/0000
4,4,4,4,4,BFS,False,4,277,393,392,669,0.0036588000075425953,1749090055,0010/0111/0000/0000,1111/0000/0000/0000
4,4,4,4,4,IDDFS,False,4,1978,5,0,5,0.0025134000170510262,1749090055,0010/0111/0000/0000,1111/0000/0000/0000
4,4,4,4,4,A*(h1) - Misplaced Tiles,False,4,40,121,120,160,0.0008978999976534396,1749090055,0010/0111/0000/0000,1111/0000/0000/0000
4,4,4,4,4,A*(h2) - Manhattan Distance,False,4,121,271,270,391,0.015978699986590073,1749090055,0010/0111/0000/0000,1111/0000/0000/0000
