d,Алгоритм,Длина пути,Количество итераций,Макс. размер списка O,Макс. память (O+C)
2,A*(h1) - Misplaced Tiles,2.0,5.7,27.3,32.0
2,A*(h2) - Manhattan Distance,2.0,9.0,42.7,50.7
2,BFS,2.0,30.0,96.0,124.3
2,IDDFS,2.0,52.0,3.0,3.0
4,A*(h1) - Misplaced Tiles,4.0,55.0,163.0,217.0
4,A*(h2) - Manhattan Distance,4.0,104.7,250.0,353.7
4,BFS,4.0,382.3,441.0,817.7
4,IDDFS,4.0,4336.0,5.0,5.0
6,A*(h1) - Misplaced Tiles,6.0,352.7,564.3,916.0
6,A*(h2) - Manhattan Distance,6.0,649.7,638.0,1255.3
6,BFS,6.0,1586.7,637.7,1772.3
6,IDDFS,6.0,1220756.0,7.0,7.0
8,A*(h1) - Misplaced Tiles,8.0,1308.7,654.7,1728.3
8,A*(h2) - Manhattan Distance,8.0,1558.0,662.7,1788.7
8,BFS,8.0,1818.7,551.0,1820.0
8,IDDFS,8.0,127260441.7,9.0,9.0
10,A*(h1) - Misplaced Tiles,10.0,1696.7,551.7,1814.3
10,A*(h2) - Manhattan Distance,10.0,1781.7,557.0,1818.0
10,BFS,10.0,1819.0,455.3,1820.0
10,IDDFS,,0.0,0.0,0.0
